SPECIES,ECO_NAME,latitude,longitude,GARDEN_CODE,INSTITUTION,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,UNABLE_TO_ASSIGN_GEO_DISTR,FINEST_TAXON_RESOLUTION.y,CWR,WUS,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,total_CWRs_in_ecoregion,endemic_CWRs_in_ecoregion,total_WUS_in_ecoregion,endemic_WUS_in_ecoregion,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res
Abies amabilis,Montane Cordillera,55.2166,-125.85,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,78,0,166,1,25,15,10
Abies amabilis,North Cascades,50.05,-122.3667,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,59,0,157,0,25,15,10
Abies amabilis,North Cascades,49.48356,-123.56923,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,59,0,157,0,25,15,10
Abies amabilis,Okanagan,49.78333,-121.0833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,93,5,203,17,25,15,10
Abies amabilis,Okanagan,50.53333,-122.7833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,93,5,203,17,25,15,10
Abies amabilis,Okanagan,49.65,-121.1,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,93,5,203,17,25,15,10
Abies amabilis,Pacific Northwest Coast,49.142627,-125.835069,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,Pacific Northwest Coast,49.75,-125.25,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,Pacific Northwest Coast,50.4,-126,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,Pacific Northwest Coast,48.66667,-124.0833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,67,1,154,0,25,15,10
Abies amabilis,S.E. Alaska - B.C. Coastal Forest And Mountains,55.3166,-128.75,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,52,1,154,3,25,15,10
Abies amabilis,S.E. Alaska - B.C. Coastal Forest And Mountains,54.8,-128.8833,PGRC,G,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,52,1,154,3,25,15,10
Abies amabilis,S.E. Alaska - B.C. Coastal Forest And Mountains,55.1,-127.4,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,52,1,154,3,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies amabilis,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,49.203055,-121.863333,3,BG,,Y,G5,N5,,26,16,10,Fir,,Y,Y,N,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,82,6,184,8,25,15,10
Abies balsamea,Boreal Cordillera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,56,0,120,1,181,41,140
Abies balsamea,Boreal Plains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,75,1,160,1,181,41,140
Abies balsamea,Boreal Shield,45.490419,-78.869272,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.32827319,-79.37864484,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.782147,-74.029266,2,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,50.01667,-69.33334,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.568977,-80.866818,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,50.98333,-56.23333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,50.41667,-57.25,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.568977,-80.866818,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,47.557938,-52.719606,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.5,-75.16666,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.568977,-80.866818,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.08333,-77.83334,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.32827319,-79.37864484,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.41666,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.31667,-71.08334,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.266219,-74.517457,2,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.32827319,-79.37864484,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.53333,-56.61666,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,47.66667,-55.51667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.951089,-57.833385,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.4,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.782147,-74.029266,2,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.68333,-75.53333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.568977,-80.866818,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.568977,-80.866818,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.41666,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.27564,-53.98183,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.568977,-80.866818,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.98333,-77.46667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,49.7,-57.5,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.16667,-73.86667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.32827319,-79.37864484,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.27016,-53.98245,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.86666,-74.83334,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.27164,-53.9818,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.911,-57.6965,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,45.96667,-77.41666,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,50.5525,-57.2935,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,46.32827319,-79.37864484,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Boreal Shield,48.288,-53.9874,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,0,230,0,181,41,140
Abies balsamea,Eastern Taiga Shield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,30,0,78,0,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.798869,-82.728344,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.46208063,-80.25458956,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.05651427,-81.38355159,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.015948,-79.615278,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,44.69407105,-81.26251494,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,45.115229,-79.575698,4,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,43.574878,-80.140764,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Great Lakes,46.107579,-81.199124,1,BG,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,126,8,240,22,181,41,140
Abies balsamea,Hudson Plains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,41,0,97,0,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.41667,-66.46667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.03333,-64.98333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.2,-70.38333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.23333,-62.95,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.66667,-65.13333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.36666,-60.8,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.4,-65.48333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,47.08333,-65.98333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.4,-65.48333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.4,-65.48333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.35,-67.38333,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.83333,-66.1,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.9,-65.71667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.01667,-66.36667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,46.41667,-60.76667,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,45.68333,-66.55,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
Abies balsamea,Northern Appalachian / Acadian,44.83333,-64.83334,PGRC,G,,Y,G5,N5,,239,96,143,Fir,,Y,Y,Y,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,115,6,219,7,181,41,140
